"Id" "parto" "ap" "cr" "cc" "ppd" "ano" "epoca" "edad"
"190" "2555" 7 10 "CR3" 3.3125 10.52 2005 "B" 125
"191" "2572" 5 7 "CR4" 3.5 11.86 2002 "D" 93
"192" "2572" 6 8 "CR4" 3.375 13.45 2003 "D" 106
"193" "2579" 5 7 "CR4" 3.5 10.11 2002 "D" 92
"194" "2579" 6 8 "CR4" 3.5 12.29 2003 "C" 104
"195" "2579" 7 9 "CR4" 3.333333 13.28 2004 "D" 117
"196" "2579" 8 10 "CR4" 2.833333 9.02 2005 "D" 128
"197" "2585" 6 8 "CR3" 3.625 12.6 2003 "B" 99
"198" "2587" 5 7 "CR4" 3.75 6.68 2002 "B" 88
"199" "2587" 6 8 "CR4" 3.75 11.02 2003 "B" 100
"200" "2587" 7 9 "CR4" 3.5 11.39 2004 "B" 110
"201" "2588" 4 7 "CR4" 3.25 10.87 2002 "B" 86
"202" "2588" 5 8 "CR4" 3.5 11.06 2003 "B" 98
"203" "2588" 6 9 "CR4" 3.25 11.63 2004 "C" 115
"204" "2591" 5 8 "CR4" 3.5 13.2 2003 "A" 97
"205" "2612" 4 7 "CR4" 3.5 10.59 2002 "C" 88
"206" "2612" 5 8 "CR4" 3.5 13.28 2003 "B" 99
"209" "2618" 4 7 "CR4" 3.5 9.82 2002 "C" 89
"210" "2618" 5 8 "CR4" 3.75 10.22 2003 "C" 100
"211" "2618" 6 9 "CR4" 3.5 10.88 2004 "D" 114
"212" "2618" 7 10 "CR4" 3.5 9.11 2005 "D" 126
"213" "2618" 8 11 "CR4" 3.416667 8.86 2006 "D" 138
"214" "2618" 9 12 "CR4" 3.375 7.69 2007 "D" 151
"207" "2618" 10 13 "CR4" 3.375 8.08 2008 "D" 164
"208" "2618" 11 14 "CR4" 3.25 10.51 2010 "A" 179
"215" "2620" 4 6 "CR3" 3.25 10.15 2002 "A" 82
"216" "2620" 5 8 "CR3" 3.375 9.42 2003 "B" 97
"217" "2620" 6 9 "CR3" 3.5 10.75 2004 "B" 110
"218" "2620" 7 10 "CR3" 3.416667 8.09 2005 "B" 122
"219" "2620" 8 11 "CR3" 3.25 9.57 2006 "C" 135
"220" "2621" 5 8 "CR4" 3.375 11.19 2003 "B" 96
"221" "2631" 4 7 "CR4" 3.5 8.37 2002 "C" 87
"222" "2631" 5 8 "CR4" 3.875 9.44 2003 "D" 101
"223" "2631" 6 9 "CR4" 3.625 12.14 2004 "D" 112
"224" "2631" 7 10 "CR4" 3.75 10.25 2005 "D" 124
"225" "2631" 8 11 "CR4" 3.5 11.09 2006 "D" 138
"226" "2631" 9 12 "CR4" 3.25 7.68 2007 "D" 149
"227" "2634" 4 7 "CR4" 3.25 12.82 2002 "D" 87
"228" "2634" 5 8 "CR4" 3.375 12.33 2003 "D" 99
"229" "2634" 6 9 "CR4" 3.25 10.56 2004 "C" 110
"230" "2636" 4 7 "CR3" 3.75 10.64 2003 "A" 93
"231" "2636" 5 9 "CR3" 3.625 11.76 2004 "B" 108
"232" "2636" 6 9 "CR3" 3.5 8.53 2005 "B" 118
"233" "2637" 4 7 "CR2" 3.75 8.07 2002 "C" 85
"234" "2639" 4 7 "CR3" 3.25 11.18 2003 "A" 92
"235" "2639" 5 8 "CR3" 3.375 11.46 2004 "A" 103
"236" "2642" 4 6 "CR3" 3.75 8.83 2002 "B" 83
"237" "2642" 5 8 "CR3" 3.625 8.3 2003 "B" 96
"238" "2643" 4 7 "CR4" 3.25 14.08 2002 "C" 86
"239" "2643" 5 8 "CR4" 3.5 13.82 2003 "C" 97
"240" "2643" 6 9 "CR4" 3.5 10.95 2004 "C" 110
"241" "2652" 4 7 "CR3" 3.5 11.46 2002 "D" 89
"242" "2652" 5 8 "CR3" 3.5 12.41 2004 "A" 102
"243" "2652" 6 9 "CR3" 3.375 11.72 2005 "A" 115
"244" "2652" 7 10 "CR3" 3.625 12.05 2006 "A" 127
"245" "2652" 8 11 "CR3" 3.5 10.98 2007 "A" 140
"246" "2653" 4 7 "CR3" 3.5 9.06 2002 "C" 84
"247" "2653" 5 8 "CR3" 3.625 12.41 2003 "C" 97
"248" "2653" 6 9 "CR3" 3.333333 11.16 2004 "C" 109
"249" "2653" 7 10 "CR3" 3 10.2 2005 "D" 123
"250" "2653" 8 11 "CR3" 2.833333 8.99 2006 "D" 136
"251" "2653" 9 12 "CR3" 2.875 6.06 2008 "A" 150
"252" "2655" 4 6 "CR3" 3.25 11.89 2002 "A" 80
"253" "2655" 5 7 "CR3" 3.5 12.35 2003 "B" 95
"254" "2655" 6 9 "CR3" 3.416667 11.55 2004 "C" 108
"255" "2655" 7 10 "CR3" 3.375 9.91 2005 "D" 123
"256" "2655" 8 11 "CR3" 3.125 9.8 2007 "A" 138
"257" "2666" 5 7 "CR4" 3.5 13.59 2003 "A" 89
"258" "2670" 3 6 "CR3" 3.5 11.84 2001 "D" 73
"259" "2670" 4 7 "CR3" 3.625 12.33 2003 "B" 92
"260" "2670" 5 8 "CR3" 3.625 13.13 2004 "B" 104
"261" "2670" 6 9 "CR3" 3.25 10.22 2005 "B" 115
"262" "2675" 4 6 "CR3" 3.5 14.39 2002 "C" 83
"263" "2675" 5 7 "CR3" 3.625 13.1 2003 "C" 95
"264" "2676" 4 7 "CR3" 3.5 9.23 2003 "A" 89
